subject_prefix,course_number,title,class_level
ACCT,2301,Introductory Financial Accounting,Undergraduate
ACCT,2302,Introductory Management Accounting,Undergraduate
ACCT,3100,Professional Development,Undergraduate
ACCT,3101,Professional Program in Accounting Lyceum,Undergraduate
ACCT,3200,Introduction to Business Professional Development and Business Communication,Undergraduate
ACCT,3312,Introduction to Accounting Analytics,Undergraduate
ACCT,3322,Integrated Accounting Information Systems,Undergraduate
ACCT,3331,Intermediate Financial Accounting I,Undergraduate
ACCT,3332,Intermediate Financial Accounting II,Undergraduate
ACCT,3341,Cost Management Systems,Undergraduate
ACCT,3350,Fundamentals of Taxation,Undergraduate
ACCT,4301,Database Systems,Undergraduate
ACCT,4302,Accounting Research,Undergraduate
ACCT,4334,Auditing,Undergraduate
ACCT,4336,Financial Statement Analysis,Undergraduate
ACCT,4337,Business Valuation,Undergraduate
ACCT,4340,Survey of Accounting Software,Undergraduate
ACCT,4342,Analysis and Design of Accounting Systems,Undergraduate
ACCT,4V80,Professional Internship in Accounting,Undergraduate
ACCT,6193,Professional Accounting - Regulation,Graduate
ACCT,6194,Professional Accounting - Business,Graduate
ACCT,6195,Professional Accounting Practicum,Graduate
ACCT,6201,Introduction to Financial Accounting,Graduate
ACCT,6202,Introduction to Managerial Accounting,Graduate
ACCT,6291,Professional Accounting - Financial,Graduate
ACCT,6292,Professional Accounting - Audit,Graduate
ACCT,6293,Professional Accounting - Regulation,Graduate
ACCT,6301,Financial Accounting,Graduate
ACCT,6305,Accounting for Managers,Graduate
ACCT,6309,Business Data Warehousing,Graduate
ACCT,6312,Cybersecurity Fundamentals,Graduate
ACCT,6313,Information Technology Security,Graduate
ACCT,6320,Database Foundations,Graduate
ACCT,6330,Intermediate Financial Accounting I,Graduate
ACCT,6331,Cost Accounting,Graduate
ACCT,6332,Intermediate Financial Accounting II,Graduate
ACCT,6333,Advanced Financial Reporting,Graduate
ACCT,6334,Auditing,Graduate
ACCT,6335,Ethics for Professional Accountants,Graduate
ACCT,6336,Information Technology Audit and Risk Management,Graduate
ACCT,6338,Accounting Systems Integration and Configuration,Graduate
ACCT,6340,System Analysis and Project Management,Graduate
ACCT,6341,Planning  Control and Performance Evaluation,Graduate
ACCT,6343,Accounting Information Systems,Graduate
ACCT,6344,Financial Statement Analysis,Graduate
ACCT,6345,Business Valuation,Graduate
ACCT,6349,Information Technology Strategy and Management,Graduate
ACCT,6350,Fundamentals of Taxation I,Graduate
ACCT,6353,Fundamentals of Taxation II,Graduate
ACCT,6354,Partnership Taxation,Graduate
ACCT,6356,Tax Research,Graduate
ACCT,6365,Governmental and Not-For-Profit Accounting,Graduate
ACCT,6367,Multijurisdictional Taxation,Graduate
ACCT,6370,Business Law,Graduate
ACCT,6373,Advanced External Auditing,Graduate
ACCT,6374,Data Analytics for Accountants and Auditors,Graduate
ACCT,6377,Corporate Governance,Graduate
ACCT,6380,Internal Audit,Graduate
ACCT,6382,Advanced Internal Auditing,Graduate
ACCT,6383,Fraud Examination,Graduate
ACCT,6384,Analytical Reviews Using Audit Software,Graduate
ACCT,6386,Governance  Risk Management and Compliance,Graduate
ACCT,6388,Accounting Communications,Graduate
ACCT,6389,Volunteer Income Tax Assistance Practicum,Graduate
ACCT,6392,Advanced Auditing,Graduate
ACCT,6V99,Special Topics in Accounting  - Governance Capital Class,Graduate
ACCT,7210,PhD Workshop Series,Graduate
ACCT,7313,Contemporary Research in Accounting and Economics,Graduate
ACCT,7314,Empirical Research in Financial Reporting,Graduate
ACCT,7323,Empirical Research in Accounting and Economics,Graduate
ACCT,7324,Empirical Research in Financial Accounting,Graduate
ACCT,7333,Analytical Research in Accounting and Economics,Graduate
ACCT,7334,Survey of Accounting Research  Corporate Compliance  Debt Contracting  and Financial Intermediation,Graduate
ACCT,7344,Advanced Research in Accounting,Graduate
ACN,5312,Introductory Research Methods in Behavioral and Brain Sciences - Part I,Graduate
ACN,5313,Introductory Research Methods in Behavioral and Brain Sciences - Part II,Graduate
ACN,5314,Computational Modeling Methods in Behavioral and Brain Sciences,Graduate
ACN,6110,Fundamentals of Functional Brain Imaging Lab,Graduate
ACN,6160,Neurobiology,Graduate
ACN,6310,Fundamentals of Functional Brain Imaging,Graduate
ACN,6312,Research Methods in Behavioral and Brain Sciences - Part I,Graduate
ACN,6313,Research Methods in Behavioral and Brain Sciences - Part II,Graduate
ACN,6322,Computational Modeling Methods for Language Understanding,Graduate
ACN,6323,Neurophysiology,Graduate
ACN,6330,Cognitive Science,Graduate
ACN,6331,Cognitive Development,Graduate
ACN,6332,Perception,Graduate
ACN,6333,Memory,Graduate
ACN,6334,Attention,Graduate
ACN,6337,Cognitive Ethnography  - Cognitive Ethnography,Graduate
ACN,6338,Functional Neuroanatomy,Graduate
ACN,6340,Cellular Neuroscience,Graduate
ACN,6341,Human Computer Interactions I,Graduate
ACN,6342,Human Computer Interactions II,Graduate
ACN,6344,Human-Computer Interaction Lab,Graduate
ACN,6345,Neurobiology of Learning and Memory,Graduate
ACN,6346,Systems Neuroscience,Graduate
ACN,6347,Intelligent Systems Analysis,Graduate
ACN,6348,Neural Net Mathematics,Graduate
ACN,6349,Intelligent Systems Design,Graduate
ACN,6353,R Programming for Cognitive Neuroscientists,Graduate
ACN,6354,Quantitative Usability Engineering  Mixed Reality,Graduate
ACN,6367,Speech Perception,Graduate
ACN,6368,Language Development,Graduate
ACN,6370,Neuroimmunology,Graduate
ACN,6372,The Neuroscience of Pain,Graduate
ACN,6373,Intraoperative Neurophysiological Monitoring I,Graduate
ACN,6374,Intraoperative Neurophysiological Monitoring,Graduate
ACN,6375,IONM Special Topics  - Mapping of the Brain,Graduate
ACN,6388,MATLAB for Brain Sciences,Graduate
ACN,6389,Speech Perception Laboratory,Graduate
ACN,6390,Forensic Neuroscience,Graduate
ACN,6395,Cognitive Psychology,Graduate
ACN,6V71,Industry Internship,Graduate
ACN,6V72,Research Internship,Graduate
ACN,6V81,Special Topics in Applied Cognition and Neuroscience  - Forensic Neuroscience,Graduate
ACN,7310,Advanced Research Methods,Graduate
ACN,7320,Topics in Multivariate Data Analysis using R  - Adv Multivariate Stats,Graduate
ACN,7324,Seminar in Cochlear Implants and Technology for Persons with Hearing Impairments,Graduate
ACN,7343,Neuropharmacology,Graduate
ACN,7351,Aging and the Nervous System,Graduate
ACN,7364,Cognitive Neuroscience of Human Memory,Graduate
ACN,7372,Seminar in Neuroscience,Graduate
ACN,7383,Neuropathology and Behavior,Graduate
ACN,7387,Developmental Neurobiology of Language and Cognition,Graduate
ACTS,4301,Principles of Actuarial Models  Life Contingencies I,Undergraduate
ACTS,4302,Principles of Actuarial Models  Financial Economics,Undergraduate
ACTS,4303,Long Term Actuarial Mathematics II,Undergraduate
