,professor_id,subject_prefix,course_number,first_name,last_name,section_id,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
0,67cc152ae13b9b509188d5cb,CHEM,1111,Nimali,Abeykoon,23F,114,76,20,15,15,3,5,4,3,1,1,2,5
1,67cc152ae13b9b509188d5cb,CHEM,1111,Nimali,Abeykoon,18S,3,6,1,0,1,1,3,1,0,1,0,0,11
2,67cc152ae13b9b509188d5cb,CHEM,1111,Nimali,Abeykoon,21F,31,12,4,2,2,0,1,0,0,0,0,0,5
3,67cc152ae13b9b509188d5cb,CHEM,1111,Nimali,Abeykoon,18F,104,129,29,14,17,9,3,8,3,2,4,3,15
4,67cc152ae13b9b509188d5cb,CHEM,1111,Nimali,Abeykoon,17F,39,131,18,18,13,10,5,2,3,2,1,1,11
5,67cc152ae13b9b509188d5cb,CHEM,1111,Nimali,Abeykoon,24F,77,38,12,9,6,1,2,0,1,0,0,0,2
6,67cc152ae13b9b509188d5cb,CHEM,1111,Nimali,Abeykoon,20F,76,22,25,3,7,1,5,4,2,0,0,3,15
7,67cc152ae13b9b509188d5cb,CHEM,1111,Nimali,Abeykoon,19F,103,87,14,6,7,0,0,4,0,4,2,2,4
8,67cc1533e13b9b509188d5eb,CHEM,1111,Fadwa,Anka,19F,23,92,37,15,7,5,3,5,3,3,2,0,4
9,67cc1533e13b9b509188d5eb,CHEM,1111,Fadwa,Anka,22F,82,29,7,8,11,4,0,2,0,1,1,0,3
10,67cc1533e13b9b509188d5eb,CHEM,1111,Fadwa,Anka,23F,91,53,28,4,8,6,3,0,1,2,1,2,3
11,67cc1533e13b9b509188d5eb,CHEM,1111,Fadwa,Anka,20F,51,38,10,6,8,2,4,3,1,0,0,2,5
12,67cc1533e13b9b509188d5eb,CHEM,1111,Fadwa,Anka,24F,82,20,6,2,2,1,0,0,0,1,0,0,1
13,67cc1533e13b9b509188d5eb,CHEM,1111,Fadwa,Anka,21F,65,25,8,5,5,0,1,0,1,2,1,1,4
14,67cc1561e13b9b509188d687,CHEM,1111,Sergio,Cortes,23F,40,21,8,4,4,2,1,0,0,0,1,0,3
15,67cc1561e13b9b509188d687,CHEM,1111,Sergio,Cortes,24F,15,7,3,1,1,1,0,0,0,0,0,0,1
16,67cc1561e13b9b509188d687,CHEM,1111,Sergio,Cortes,22F,14,16,9,4,3,4,1,1,0,1,0,0,4
17,67cc1561e13b9b509188d687,CHEM,1111,Sergio,Cortes,24U,3,2,3,1,1,0,0,1,0,0,0,0,4
18,67cc156ee13b9b509188d6ba,CHEM,1111,Dushanthi,Dissanayake,20S,2,5,1,0,2,0,0,2,0,0,0,0,1
19,67cc156ee13b9b509188d6ba,CHEM,1111,Dushanthi,Dissanayake,18F,96,134,34,22,15,8,7,3,3,1,3,0,13
20,67cc156ee13b9b509188d6ba,CHEM,1111,Dushanthi,Dissanayake,17F,88,134,33,14,12,11,6,4,2,1,7,1,8
21,67cc156ee13b9b509188d6ba,CHEM,1111,Dushanthi,Dissanayake,20U,5,4,4,2,3,3,0,2,0,1,0,0,2
22,67cc156ee13b9b509188d6ba,CHEM,1111,Dushanthi,Dissanayake,19S,9,11,4,4,4,1,0,3,0,0,1,0,5
23,67cc156ee13b9b509188d6ba,CHEM,1111,Dushanthi,Dissanayake,21F,64,32,23,19,17,6,7,11,4,2,2,8,25
24,67cc156ee13b9b509188d6ba,CHEM,1111,Dushanthi,Dissanayake,22F,70,35,18,16,9,5,2,5,1,4,4,1,4
25,67cc156ee13b9b509188d6ba,CHEM,1111,Dushanthi,Dissanayake,19F,51,110,22,16,11,8,2,6,1,0,2,6,11
26,67cc156ee13b9b509188d6ba,CHEM,1111,Dushanthi,Dissanayake,23F,14,8,3,2,2,0,0,0,0,0,0,0,0
27,67cc156ee13b9b509188d6ba,CHEM,1111,Dushanthi,Dissanayake,24F,20,5,1,0,0,2,1,0,0,0,0,0,0
28,67cc156ee13b9b509188d6ba,CHEM,1111,Dushanthi,Dissanayake,20F,49,32,17,9,8,1,2,1,0,0,0,0,10
29,67cca09a273b002bc539d4e8,CHEM,1111,Seyedmajid,Farvid,24F,24,38,17,11,9,1,3,3,3,3,0,1,1
30,67cc1589e13b9b509188d716,CHEM,1111,Sandhya,Gavva,18S,6,27,16,4,4,4,3,3,0,2,1,1,10
31,67cc1589e13b9b509188d716,CHEM,1111,Sandhya,Gavva,22S,5,5,2,0,2,0,1,1,4,3,0,1,3
32,67cc1589e13b9b509188d716,CHEM,1111,Sandhya,Gavva,23F,12,12,3,2,0,0,0,1,0,0,0,0,0
33,67cc1589e13b9b509188d716,CHEM,1111,Sandhya,Gavva,19F,12,64,29,11,11,2,4,5,1,0,0,0,6
34,67cc1589e13b9b509188d716,CHEM,1111,Sandhya,Gavva,24F,29,29,0,7,9,2,1,3,0,1,1,0,3
35,67cc1589e13b9b509188d716,CHEM,1111,Sandhya,Gavva,20F,89,51,11,16,7,8,4,1,1,1,0,0,7
36,67cc1589e13b9b509188d716,CHEM,1111,Sandhya,Gavva,17F,21,41,11,5,2,3,0,0,1,0,1,0,3
37,67cc1589e13b9b509188d716,CHEM,1111,Sandhya,Gavva,21S,30,31,17,13,12,5,2,8,2,7,3,3,35
38,67cc1589e13b9b509188d716,CHEM,1111,Sandhya,Gavva,18F,36,17,1,2,1,0,1,0,1,0,0,0,1
39,67cc1589e13b9b509188d716,CHEM,1111,Sandhya,Gavva,18U,2,5,1,1,6,1,1,2,1,2,0,0,0
40,67cc1589e13b9b509188d716,CHEM,1111,Sandhya,Gavva,21F,81,27,29,13,10,10,3,5,4,5,0,3,10
